Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.72,1000,789.8,0.0000,612,1000
0.72,1000,750.2,0.0000,612,1000
0.72,1000,802.1,0.0000,612,1000
0.72,1000,799.7,0.0000,612,1000
0.72,1000,790.3,0.0000,612,1000
0.72,1000,754.3,0.0000,612,1000
0.73,1000,731.4,0.0000,612,1000
0.73,1000,651.5,0.0000,612,1000
0.73,1000,686.4,0.0000,612,1000
0.73,1000,540.8,0.2381,612,1000
0.73,1000,786.4,0.0000,612,1000
0.73,1000,799.5,0.0000,612,1000
0.73,1000,786.0,0.0000,612,1000
0.74,1000,803.9,0.0000,612,1000
0.74,1000,813.2,0.0000,612,1000
0.74,1000,797.8,0.0000,612,1000
0.74,1000,794.8,0.0000,612,1000
0.74,1000,808.1,0.0000,612,1000
0.74,1000,789.0,0.0000,612,1000
0.74,1000,746.5,0.0000,612,1000
0.74,1000,710.2,0.0000,612,1000
0.75,1000,713.0,0.0000,612,1000
0.75,1000,652.5,0.0000,612,1000
0.75,1000,570.4,0.2300,612,1000
0.75,1000,772.1,0.0000,612,1000
0.75,1000,802.5,0.0000,612,1000
0.75,1000,778.0,0.0000,612,1000
0.75,1000,791.3,0.0000,612,1000
0.76,1000,777.7,0.0000,612,1000
0.76,1000,803.7,0.0000,612,1000
0.76,1000,809.8,0.0000,612,1000
0.76,1000,783.4,0.0000,612,1000
0.76,1000,799.7,0.0000,612,1000
0.76,1000,799.5,0.0000,612,1000
0.76,1000,798.0,0.0000,612,1000
0.76,1000,811.2,0.0000,612,1000
0.77,1000,794.8,0.0000,612,1000
0.77,1000,769.4,0.0000,612,1000
0.77,1000,742.8,0.0000,612,1000
0.77,1000,585.5,0.2162,612,1000
0.77,1000,797.3,0.0000,612,1000
0.77,1000,776.9,0.0000,612,1000
0.77,1000,804.0,0.0000,612,1000
0.78,1000,649.8,0.0000,612,1000
0.78,1000,690.7,0.0000,612,1000
0.78,1000,683.3,0.0000,612,1000
0.78,1000,694.9,0.0000,613,1000
0.78,1000,647.0,0.0000,612,1000
0.78,1000,784.7,0.0000,613,1000
0.78,1000,807.7,0.0000,613,1000
0.79,1000,790.5,0.0000,613,1000
0.79,1000,804.1,0.0000,613,1000
0.79,1000,746.5,0.0000,613,1000
0.79,1000,553.8,0.2008,613,1000
0.79,1000,702.5,0.0000,613,1000
0.79,1000,793.4,0.0000,613,1000
0.79,1000,798.3,0.0000,613,1000
0.79,1000,802.2,0.0000,613,1000
0.80,1000,785.9,0.0000,613,1000
0.80,1000,808.7,0.0000,613,1000
0.80,1000,791.5,0.0000,613,1000
0.80,1000,799.6,0.0000,613,1000
0.80,1000,807.1,0.0000,613,1000
0.80,1000,815.1,0.0000,613,1000
0.80,1000,806.6,0.0000,613,1000
0.80,1000,781.4,0.0000,613,1000
0.81,1000,790.2,0.0000,613,1000
0.81,1000,797.3,0.0000,613,1000
0.81,1000,802.4,0.0000,613,1000
0.81,1000,472.3,0.3602,613,1000
0.81,1000,753.1,0.0000,613,1000
0.81,1000,760.9,0.0000,613,1000
0.81,1000,795.7,0.0000,613,1000
0.82,1000,795.5,0.0000,613,1000
0.82,1000,779.7,0.0000,613,1000
0.82,1000,800.8,0.0000,613,1000
0.82,1000,802.6,0.0000,613,1000
0.82,1000,731.9,0.0000,613,1000
0.82,1000,771.1,0.0000,613,1000
0.82,1000,695.5,0.0000,613,1000
0.83,1000,713.9,0.0000,613,1000
0.83,1000,260.8,0.0000,611,1000
0.83,1000,509.1,0.3127,611,1000
0.83,1000,787.2,0.0000,611,1000
0.83,1000,777.4,0.0000,611,1000
0.83,1000,768.1,0.0000,611,1000
0.84,1000,644.2,0.0000,611,1000
0.84,1000,790.9,0.0000,611,1000
0.84,1000,709.7,0.0000,611,1000
0.84,1000,791.9,0.0000,611,1000
0.84,1000,804.0,0.0000,611,1000
0.84,1000,807.6,0.0000,611,1000
0.84,1000,781.1,0.0000,611,1000
0.85,1000,762.7,0.0000,611,1000
0.85,1000,793.1,0.0000,611,1000
0.85,1000,789.9,0.0000,611,1000
0.85,1000,545.9,0.2193,612,1000
0.85,1000,793.6,0.0000,612,1000
0.85,1000,709.0,0.0000,612,1000
0.85,1000,788.0,0.0000,612,1000
0.85,1000,807.4,0.0000,612,1000
0.86,1000,794.6,0.0000,612,1000
0.86,1000,794.7,0.0000,612,1000
0.86,1000,800.9,0.0000,612,1000
0.86,1000,756.3,0.0000,612,1000
0.86,1000,812.2,0.0000,612,1000
0.86,1000,795.2,0.0000,612,1000
0.86,1000,792.1,0.0000,612,1000
0.86,1000,794.7,0.0000,612,1000
0.87,1000,806.8,0.0000,612,1000
0.87,1000,797.8,0.0000,612,1000
0.87,1000,771.5,0.0000,612,1000
0.87,1000,590.8,0.2151,612,1000
0.87,1000,798.7,0.0000,612,1000
0.87,1000,786.7,0.0000,612,1000
0.87,1000,801.9,0.0000,612,1000
0.88,1000,809.6,0.0000,612,1000
0.88,1000,809.5,0.0000,612,1000
0.88,1000,807.7,0.0000,612,1000
0.88,1000,800.4,0.0000,612,1000
0.88,1000,802.1,0.0000,612,1000
0.88,1000,808.8,0.0000,612,1000
0.88,1000,736.6,0.0000,612,1000
0.88,1000,650.3,0.0000,612,1000
0.89,1000,778.9,0.0000,612,1000
0.89,1000,722.8,0.0000,612,1000
0.89,1000,771.7,0.0000,612,1000
0.89,1000,269.2,2.2043,612,1000
0.89,1000,784.7,0.0000,612,1000
0.89,1000,756.1,0.0000,612,1000
0.90,1000,811.3,0.0000,612,1000
0.90,1000,777.8,0.0000,612,1000
0.90,1000,796.1,0.0000,612,1000
0.90,1000,778.9,0.0000,612,1000
0.90,1000,804.8,0.0000,612,1000
0.90,1000,814.8,0.0000,613,1000
0.90,1000,800.8,0.0000,613,1000
0.90,1000,804.2,0.0000,613,1000
0.91,1000,808.1,0.0000,613,1000
0.91,1000,797.5,0.0000,613,1000
0.91,1000,794.6,0.0000,613,1000
0.91,1000,486.7,0.2489,613,1000
0.91,1000,689.8,0.0000,613,1000
0.91,1000,637.4,0.0000,613,1000
0.91,1000,708.4,0.0000,613,1000
0.92,1000,715.4,0.0000,613,1000
0.92,1000,658.8,0.0000,613,1000
0.92,1000,708.3,0.0000,613,1000
0.92,1000,686.5,0.0000,613,1000
0.92,1000,631.1,0.0000,613,1000
0.92,1000,702.6,0.0000,613,1000
0.93,1000,697.4,0.0000,613,1000
0.93,1000,637.6,0.0000,613,1000
0.93,1000,713.4,0.0000,613,1000
0.93,1000,550.3,0.3027,613,1000
0.93,1000,777.6,0.0000,613,1000
0.93,1000,801.2,0.0000,613,1000
0.93,1000,799.8,0.0000,613,1000
0.94,1000,782.7,0.0000,613,1000
0.94,1000,791.2,0.0000,613,1000
0.94,1000,789.2,0.0000,613,1000
0.94,1000,785.1,0.0000,613,1000
0.94,1000,793.2,0.0000,613,1000
0.94,1000,801.0,0.0000,613,1000
